ts_iso,epoch,value
2026-02-19T11:28:55,1771496935,270.000000
2026-02-19T11:28:57,1771496937,270.000000
2026-02-19T11:28:59,1771496939,270.000000
2026-02-19T11:29:01,1771496941,270.000000
2026-02-19T11:29:03,1771496943,271.000000
2026-02-19T11:29:05,1771496945,271.000000
2026-02-19T11:29:07,1771496947,271.000000
2026-02-19T11:29:09,1771496949,271.000000
2026-02-19T11:29:11,1771496951,271.000000
2026-02-19T11:29:13,1771496953,271.000000
2026-02-19T11:29:15,1771496955,271.000000
2026-02-19T11:29:17,1771496957,271.000000
2026-02-19T11:29:19,1771496959,271.000000
2026-02-19T11:29:21,1771496961,271.000000
2026-02-19T11:29:23,1771496963,271.000000
2026-02-19T11:29:26,1771496966,271.000000
2026-02-19T11:29:28,1771496968,270.000000
2026-02-19T11:29:30,1771496970,270.000000
2026-02-19T11:29:32,1771496972,270.000000
2026-02-19T11:29:34,1771496974,270.000000
2026-02-19T11:29:36,1771496976,270.000000
2026-02-19T11:29:38,1771496978,270.000000
2026-02-19T11:29:40,1771496980,270.000000
2026-02-19T11:29:42,1771496982,270.000000
2026-02-19T11:29:44,1771496984,270.000000
2026-02-19T11:29:46,1771496986,273.000000
2026-02-19T11:29:48,1771496988,270.000000
2026-02-19T11:29:50,1771496990,270.000000
2026-02-19T11:29:52,1771496992,270.000000
2026-02-19T11:29:54,1771496994,270.000000
2026-02-19T11:29:56,1771496996,270.000000
2026-02-19T11:29:58,1771496998,270.000000
2026-02-19T11:30:00,1771497000,270.000000
2026-02-19T11:30:02,1771497002,270.000000
2026-02-19T11:30:04,1771497004,270.000000
2026-02-19T11:30:04,1771497004,272.000000
2026-02-19T11:30:06,1771497006,272.000000
2026-02-19T11:30:06,1771497006,272.000000
2026-02-19T11:30:08,1771497008,272.000000
2026-02-19T11:30:08,1771497008,272.000000
2026-02-19T11:30:10,1771497010,272.000000
2026-02-19T11:30:10,1771497010,272.000000
2026-02-19T11:30:12,1771497012,272.000000
2026-02-19T11:30:12,1771497012,272.000000
2026-02-19T11:30:14,1771497014,272.000000
2026-02-19T11:30:14,1771497014,272.000000
2026-02-19T11:30:16,1771497016,272.000000
